id,active_search_condition,session_started,session_ended,session_duration_minutes,q1,q2,q3,q4,q5,q6,q7,q8,comments,technical_issues,age,sex,education
MRpphVjkDCll9QbNTPnoRQ,greedy,2020-09-10 15:43:45,2020-09-10 15:55:58,12.216666666666667,2.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,,False,33,male,associate
wMWdKtkmZiTUIW_s_XSiKw,control,2020-09-10 15:43:47,2020-09-10 15:55:04,11.283333333333333,2.0,3.0,3.0,2.0,,,,,none,False,59,male,bachelors
8-oRuOqv44CkXM1rq3WgDw,greedy,2020-09-10 15:43:54,2020-09-10 15:57:19,13.416666666666666,2.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,,False,23,male,associate
3RJkTqsdzektLw8VmK3d1A,control,2020-09-10 15:43:56,2020-09-10 15:55:33,11.616666666666667,3.0,4.0,4.0,2.0,,,,,,False,45,female,bachelors
BP3u6-yQVD6JFzi3tKLamA,greedy,2020-09-10 15:43:59,2020-09-10 15:57:08,13.15,4.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0,,False,45,female,masters
K4oiwhn0PHkER7IOBzp3tA,control,2020-09-10 15:44:09,2020-09-10 15:58:02,13.883333333333333,4.0,5.0,5.0,2.0,,,,,"thanks, i hope I did well on this",False,57,female,highschool
9cgrSAf3_zRo509cVXexBw,control,2020-09-10 15:44:09,2020-09-10 15:55:19,11.166666666666666,4.0,5.0,5.0,2.0,,,,,,False,55,female,associate
705Te_LAeladSVRFI5Sp9w,control,2020-09-10 15:44:20,2020-09-10 15:56:23,12.05,4.0,4.0,4.0,2.0,,,,,"It has been interesting, the concept is very useful, and the interface easy to manage!",False,41,male,highschool
dBcHhu9iTi_x-gDCawjcyA,control,2020-09-10 15:44:49,2020-09-10 15:59:17,14.466666666666667,3.0,4.0,3.0,2.0,,,,,There were a lot of data points.  I checked around and it looked like people were sick in a lot of places.,False,69,male,masters
hjZTImgTbnU-JHo2t0hNeg,greedy,2020-09-10 15:44:50,2020-09-10 15:56:44,11.9,4.0,5.0,5.0,2.0,2.0,1.0,4.0,5.0,,False,39,female,masters
_zMmoKjDxTLi3l1X3RrZAw,control,2020-09-10 15:45:28,2020-09-10 15:47:25,1.95,4.0,3.0,4.0,4.0,,,,,good,True,36,male,masters
MfpBNUsm4pD3Kg5wjiKP_Q,greedy,2020-09-10 15:46:20,2020-09-10 15:59:23,13.05,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,I really enjoyed using this interface. I found it to be very intuitive. I would definitely use this system again to analyze visual data.,False,33,male,highschool
NRyzJB-AeSx5AOWhloLZ8g,control,2020-09-10 15:46:29,2020-09-10 16:14:39,28.166666666666668,3.0,4.0,4.0,2.0,,,,,No additional comments.,False,32,male,masters
yvXWJOqkIJex-23s_sTROg,greedy,2020-09-10 15:46:32,2020-09-10 15:48:40,2.1333333333333333,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,25,male,bachelors
5Jl5_kX_Tg6LjTwri7lSUA,greedy,2020-09-10 15:46:47,2020-09-10 15:58:58,12.183333333333334,3.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,,False,34,male,bachelors
anfa5Zq4bjh-81ZE-RYzzA,control,2020-09-10 15:46:50,2020-09-10 16:03:23,16.55,3.0,4.0,4.0,2.0,,,,,,False,46,female,bachelors
Iz1RVMn8Gj1oed8-QZMqXA,greedy,2020-09-10 15:46:55,2020-09-10 15:57:52,10.95,3.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,40,male,masters
N0VtS5g31siXqoUhQnAAPQ,control,2020-09-10 15:47:19,2020-09-10 15:58:18,10.983333333333333,2.0,3.0,3.0,2.0,,,,,,False,26,female,bachelors
-qgyUblFjzGauFx_Qt1xxQ,control,2020-09-10 15:47:42,2020-09-10 15:59:35,11.883333333333333,4.0,5.0,5.0,2.0,,,,,The task is very clear and vivid.,False,35,male,bachelors
rQCaKZQ2F25eBST_bWyKFA,control,2020-09-10 15:48:02,2020-09-10 15:52:23,4.35,2.0,2.0,1.0,2.0,,,,,What am I supposed to be doing?,False,37,male,bachelors
t3dx1A8gxcC7T0GkYvk4rQ,control,2020-09-10 15:48:45,2020-09-10 16:00:08,11.383333333333333,3.0,4.0,4.0,2.0,,,,,The map is a bit sluggish,False,32,male,bachelors
pM3lshrmqr3py5jVQkCGog,control,2020-09-10 15:49:01,2020-09-10 15:59:33,10.533333333333333,3.0,5.0,4.0,2.0,,,,,,False,37,male,bachelors
8uws47dV4-x6_2L7dWretA,greedy,2020-09-10 15:49:25,2020-09-10 15:59:56,10.516666666666667,2.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,,False,31,male,bachelors
7FRoXRjqfsGRrIJD87-H1w,greedy,2020-09-10 15:49:28,2020-09-10 15:55:38,6.166666666666667,2.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,,False,42,male,bachelors
ieozcwSTOaL5xar-tDFIMw,greedy,2020-09-10 15:50:14,2020-09-10 16:00:37,10.383333333333333,1.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,,False,40,female,highschool
R_ubSTGYnz-reM6XMYvuGA,greedy,2020-09-10 15:50:30,2020-09-10 16:01:11,10.683333333333334,1.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,"it took a long time to load, a significant amount of the timer.",False,32,female,bachelors
RLIDb-SlMuUNc5o1Ex2LGA,greedy,2020-09-10 15:50:41,2020-09-10 16:17:39,26.966666666666665,4.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,,False,30,male,bachelors
PtJP0V71F8Ud9kyU_molEw,control,2020-09-10 15:50:47,2020-09-10 16:02:21,11.566666666666666,3.0,4.0,5.0,2.0,,,,,,False,29,female,bachelors
